property_name,interval,overall_sentiment,trouble_points,suggestions
Dovetree Apartments,90_days,Negative,"[""Additional monthly charge for washer and dryer rental"", ""Extreme rent break clause"", ""Pressure tactics during application process"", ""Issues with refund of deposit""]","[""Include washer and dryer in the rent price to avoid additional charges"", ""Consider revising the rent break clause to align more with industry standards"", ""Give applicants more time to make a decision before processing any payments or charges"", ""Improve communication and responsiveness regarding refund processes""]"
Dovetree Apartments,120_days,"Mixed feelings about Dovetree Apartments, with some positive experiences and some highly negative ones.","[""Separate washer and dryer rental fee on top of high rent"", ""Extreme rent break clause penalizing residents heavily for breaking lease"", ""Pressure tactics during application process leading to loss of deposit"", ""Failure to return $100 deposit leading to customer frustration""]","Management should consider including washer and dryer in the rent to improve resident satisfaction. They should also review the rent break clause to make it more reasonable. Furthermore, they need to ensure transparency during the application process and promptly address refund issues to avoid customer dissatisfaction and legal actions."
Dovetree Apartments,180_days,Mixed,"[""Additional fees for washer and dryer"", ""Strict rent break clause with no flexibility"", ""Lack of responsiveness regarding deposit refunds"", ""Money hungry management with rent increases and no upgrades""]","[""Include washer and dryer in rent or clearly communicate the additional fee"", ""Consider revising the rent break clause to allow for more flexibility"", ""Improve communication and responsiveness regarding deposit refunds"", ""Prioritize upgrades and renovations for the apartments to justify rent increases""]"
Dovetree Apartments,365_days,"Mixed reviews with a general positive sentiment towards staff and amenities, but major concerns about rent policies, maintenance issues, and lack of upgrades.","[""Separate payment for washer and dryer rental"", ""Extreme rent break clause"", ""Pressure to fill out application quickly"", ""Difficulties in receiving deposit refund"", ""Outdated units and lack of upgrades"", ""Maintenance issues with appliances"", ""Late fees and increasing utility bills"", ""Poor management transition""]","{""washer_dryer_rental"": ""Consider including washer and dryer in the rent to simplify the payment process for tenants."", ""rent_break_clause"": ""Review the rent break clause and consider more flexible options to avoid financial burden on tenants who need to break the lease."", ""application_process"": ""Allow potential tenants more time to consider their application before finalizing and taking payments."", ""customer_service"": ""Improve communication and transparency regarding deposit refunds to prevent misunderstandings and dissatisfaction."", ""unit_upgrades"": ""Invest in upgrading and maintaining the units to provide better living conditions and increase tenant satisfaction."", ""maintenance_response"": ""Ensure prompt and effective responses to maintenance requests to uphold the quality of living standards."", ""management"": ""Focus on improving resident services and satisfaction rather than solely prioritizing profit margins during transitions.""}"
Edison Austin Apartments,90_days,Mixed feelings with recurring negative feedback,"[""Maintenance requests ignored and unsolved"", ""Excessive and unjustified fees"", ""Inconsistent trash pick-up despite premium payment"", ""Issues with cleanliness, security, and maintenance"", ""Lack of transparency with pricing""]","{""Maintenance"": ""Improve response time to maintenance requests and ensure timely resolution."", ""Fees"": ""Reevaluate fee structures to ensure they are fair and justified."", ""Trash Pick-Up"": ""Address the inconsistency in trash pick-up service to align with what residents are paying for."", ""Communication"": ""Enhance communication between staff, management, and residents to avoid misunderstandings and improve service."", ""Security"": ""Take measures to enhance security and address issues with homeless individuals on the property."", ""Transparency"": ""Be transparent about pricing and any additional charges to build trust with residents.""}"
Edison Austin Apartments,120_days,"Mixed reviews with a leaning towards negative experiences due to issues with maintenance, fees, cleanliness, and management communication.","[""Maintenance requests being ignored or unresolved"", ""Excessive and unexpected fees"", ""Cleanliness issues like roaches, uncleaned dog urine and feces"", ""Inconsistent trash pickup despite premium fee"", ""Management communication and professionalism"", ""Security concerns with homeless individuals on the property""]","Management should prioritize addressing maintenance requests promptly, ensure transparency in fee structures, improve cleanliness standards, enhance communication with residents, and address security concerns effectively."
Edison Austin Apartments,180_days,"Mixed reviews with a leaning towards negative experiences due to issues with maintenance, cleanliness, unexpected fees, and communication.","[""Maintenance requests ignored or delayed"", ""Unexpected and high additional fees"", ""Issues with cleanliness and pest control"", ""Communication problems with management""]","[""Improve maintenance response time and quality to address tenant issues promptly"", ""Provide more transparency on fees and avoid unexpected charges for residents"", ""Enhance cleanliness and pest control measures to maintain a comfortable living environment"", ""Improve communication between staff and residents to ensure better customer service and resident satisfaction""]"
Edison Austin Apartments,365_days,Unable to parse JSON from response.,[],[]
Elizabeth Station Charlotte Apartments,90_days,Unable to parse JSON from response.,[],[]
Elizabeth Station Charlotte Apartments,120_days,"Mixed reviews with a tendency towards positive experiences, highlighted by great staff and amenities, but overshadowed by maintenance issues and communication problems.","[""Maintenance issues including water quality, leaking toilets, malfunctioning dishwasher, falling ceiling, broken AC, and roach problems."", ""Communication problems such as difficulties in getting pricing information, evasive responses from staff, and issues with guest parking passes and towing.""]","[""Prioritize prompt and effective maintenance to address recurring issues and ensure residents' comfort and safety."", ""Improve communication processes by providing clear and transparent information, especially concerning pricing and amenities."", ""Enhance guest parking policies to avoid confusion and potential towing incidents, making the experience more welcoming for visitors."", ""Implement proactive pest control measures to address the roach problem effectively and ensure a hygienic living environment for all residents.""]"
Elizabeth Station Charlotte Apartments,180_days,"Mixed reviews with a range of experiences shared. Positive reviews highlight great staff, amenities, and location, while negative reviews mention issues with maintenance, cleanliness, and communication.","[""Issues with maintenance including broken amenities like gates, dishwasher, and AC"", ""Complaints about cleanliness in common areas like hallways, elevators, and gym"", ""Communication problems with office staff including unresponsiveness and evasiveness""]","[""Improve maintenance response time to address broken amenities promptly and ensure they are in working condition"", ""Implement a regular deep cleaning schedule for common areas to maintain cleanliness and improve the overall appearance of the property"", ""Enhance communication with residents by providing clear and transparent information, updating online resources, and ensuring staff are helpful and responsive""]"
Elizabeth Station Charlotte Apartments,365_days,"Mixed reviews with a majority of positive experiences highlighted by great staff, cleanliness, and amenities, but overshadowed by complaints about maintenance issues, cleanliness in common areas, gate malfunctions, unresponsive or rude staff, and unexpected charges.","[""Frequent maintenance issues - broken appliances, water leaks, AC problems, mold, roaches, cleanliness concerns"", ""Gate malfunctions leading to security issues"", ""Trash and cleanliness issues in common areas"", ""Unresponsive or rude staff members"", ""Unexpected charges and fees""]","{""Improve maintenance response time and quality"": ""Implement a more efficient maintenance system to address issues promptly and effectively to ensure resident comfort and satisfaction."", ""Enhance cleanliness in common areas"": ""Increase the frequency of cleaning common areas, ensure adequate supplies in restrooms, address trash overflow, and maintain a high standard of cleanliness throughout the property."", ""Address gate malfunctions and security concerns"": ""Invest in regular maintenance and repairs for the gates to ensure they function correctly at all times to enhance resident safety and security."", ""Enhance staff training and customer service"": ""Provide staff training on customer service, responsiveness, and professionalism to ensure all residents are treated with respect and courtesy."", ""Ensure transparency in charges and fees"": ""Clearly communicate all charges and fees to residents, avoid unexpected fees, and be transparent in all financial transactions.""}"
Estates at New Albany Apartments & Townhomes,90_days,Mixed feelings with a leaning towards negative due to management issues and maintenance delays.,"{""management_attitude"": ""Several complaints about the property manager Kat being condescending, dismissive, and using microaggressions towards tenants."", ""maintenance_delays"": ""Issues with maintenance requests taking a long time to be addressed, leaving tenants with unresolved problems."", ""communication_issues"": ""Lack of communication and transparency regarding apartment availability, cleanliness, and resolution of tenant concerns.""}","{""management_training"": ""Provide sensitivity training for the property manager Kat to ensure respectful and professional interactions with all tenants."", ""improve_maintenance_response_time"": ""Implement a system to prioritize and expedite maintenance requests to address issues promptly."", ""enhance_communication"": ""Enhance communication channels to keep tenants informed about apartment status, resolve concerns, and ensure transparency in operations.""}"
Estates at New Albany Apartments & Townhomes,120_days,"Mixed reviews - some positive feedback about the staff and location, but several instances of negative experiences with management and maintenance","[""Delayed maintenance requests"", ""Issues with leasing office staff (e.g. condescension, microaggressions, unprofessional behavior)"", ""High monthly fees and rent hikes"", ""Lack of cleanliness and maintenance in apartments and common areas"", ""Difficulty with getting deposit back""]","{""Delayed maintenance requests"": ""Management should prioritize timely completion of maintenance requests to ensure tenant satisfaction"", ""Issues with leasing office staff"": ""Provide training on professional conduct, cultural sensitivity, and effective communication for all staff members, address any complaints or reports of discrimination promptly"", ""High monthly fees and rent hikes"": ""Consider reviewing and adjusting pricing to be more competitive and reasonable in the market, communicate clearly with tenants about any upcoming rent hikes"", ""Lack of cleanliness and maintenance"": ""Implement stricter cleaning protocols for apartments and common areas, ensure regular maintenance checks are conducted and repairs are completed promptly"", ""Difficulty with getting deposit back"": ""Streamline the process for returning deposits to tenants, provide transparent guidelines on deposit deductions and ensure a timely resolution for deposit return requests""}"
Estates at New Albany Apartments & Townhomes,180_days,Mixed feelings with positive and negative experiences reported,"[""Management communication and responsiveness issues"", ""Maintenance delays and lack of follow-through"", ""Concerns about professionalism and discriminatory behavior""]","{""Management communication and responsiveness issues"": ""Management should improve communication with tenants, provide timely updates on maintenance requests, and ensure staff responsiveness to tenant concerns."", ""Maintenance delays and lack of follow-through"": ""Management should address maintenance issues promptly, ensure repairs are completed satisfactorily, and follow up with tenants to confirm issues are resolved."", ""Concerns about professionalism and discriminatory behavior"": ""Management should provide training on professional conduct and diversity sensitivity to all staff members, investigate any claims of discriminatory behavior, and take appropriate actions to create an inclusive environment for all residents.""}"
Estates at New Albany Apartments & Townhomes,365_days,Unable to parse JSON from response.,[],[]
Excelsior & Grand - St. Louis Park,90_days,Unable to parse JSON from response.,[],[]
Excelsior & Grand - St. Louis Park,120_days,Mixed,"[""Subpar quality of apartments"", ""Overpriced for the value received"", ""Security issues in the parking area"", ""Slow maintenance response""]","[""Improve the quality of apartments to match the advertised luxury standards"", ""Reevaluate pricing to align with the actual value offered"", ""Address security concerns by enhancing safety measures in the parking area"", ""Enhance maintenance response time to meet residents' needs promptly""]"
Excelsior & Grand - St. Louis Park,180_days,Unable to parse JSON from response.,[],[]
Excelsior & Grand - St. Louis Park,365_days,"Overall, the majority of reviews are positive, highlighting the friendly staff, convenient location, and well-maintained community.","[""Subpar quality of apartments compared to the high cost, slow maintenance responses"", ""Security issues including theft in the parking area and lack of visible security presence"", ""Dismissive attitude and lack of support from the front office staff""]","[""Improve the quality of apartments and ensure that maintenance requests are addressed promptly to meet residents' expectations"", ""Enhance security measures in the parking area by installing cameras and increasing surveillance to prevent theft"", ""Provide additional training for front office staff to improve responsiveness and address resident needs in a more supportive manner""]"
Flats at Perimeter Place - Dunwoody,90_days,Mixed feelings with positive experiences overshadowed by major issues,"[""Misleading information and changes to lease agreements without consent"", ""Poor maintenance of common areas and amenities"", ""Safety concerns such as fire alarms going off frequently and lack of security measures"", ""Unsatisfactory living conditions including black mold, plumbing issues, poor insulation, noise disturbances, and pest problems"", ""Lack of transparency and communication from management""]","{""1"": ""Management should prioritize transparent communication with residents and ensure all lease agreements are honored without unauthorized changes"", ""2"": ""Immediate attention should be given to maintaining common areas, amenities, and safety features such as fire alarms, locks, and security gates"", ""3"": ""Address the living conditions by conducting thorough inspections, fixing issues like black mold, plumbing, insulation, and noise disturbances, and implementing pest control measures"", ""4"": ""Improve overall property management practices to enhance resident satisfaction and trust""}"
Flats at Perimeter Place - Dunwoody,120_days,"Mixed feelings with positive feedback about staff and location, overshadowed by numerous maintenance and management issues","[""Lack of transparency and communication from management"", ""Issues with unit changes without consent and poor living conditions"", ""Maintenance delays and unresponsiveness"", ""Garage and staircases cleanliness problems"", ""Frequent false fire alarms and overflowing trash cans and dumpsters""]","{""Improve transparency and communication"": ""Ensure all changes to units are communicated and agreed upon with tenants before finalizing. Provide regular updates to tenants regarding maintenance and building issues."", ""Address maintenance and cleanliness concerns promptly"": ""Implement a more efficient system for handling maintenance requests and ensure all public areas are kept clean on a regular basis."", ""Enhance security measures"": ""Fix issues with garage entry gates and address any safety concerns, such as ensuring proper functioning of fire alarms and maintaining a secure environment."", ""Provide better amenities management"": ""Regularly inspect and maintain amenities like the rooftop area, hot tubs, and trash disposal systems to ensure they are in good condition for residents.""}"
Flats at Perimeter Place - Dunwoody,180_days,"Mixed sentiments with positive reviews highlighting great staff and location, but negative reviews pointing out maintenance issues, poor communication, and management problems.","[""Maintenance issues such as leaky windows, black mold, poor plumbing, and frequent false fire alarms"", ""Poor communication and lack of transparency from the management team"", ""Slow response to repair requests and unresolved issues with apartments"", ""Lingering smells in hallways, overflowing trash cans, and dirty common areas"", ""Management changes units without consent and refuses to address tenant concerns"", ""Management asking for positive reviews from residents and allegedly manipulating review scores""]","{""Improve Maintenance Services"": ""Address maintenance issues promptly, including leaky windows, black mold, plumbing problems, and fire alarm malfunctions."", ""Enhance Communication"": ""Ensure clear and timely communication with residents regarding repairs, lease agreements, and any changes to units."", ""Clean and Maintain Common Areas"": ""Regularly clean and maintain common areas, hallways, trash chutes, and amenities to provide a pleasant living environment for residents."", ""Address Management Concerns"": ""Improve transparency, address tenant concerns, and avoid manipulating review scores to create a more trustworthy and reliable living experience for residents.""}"
Flats at Perimeter Place - Dunwoody,365_days,Unable to parse JSON from response.,[],[]
Gardens at Cherry Creek Apartments,90_days,Mixed,"[""Cleanliness issues including a smelly garage and dirty common areas"", ""Lack of communication from management"", ""Outdated appliances and maintenance issues not fully addressed"", ""Difficulty with noise and parking in the garage""]","[""Implement a more thorough cleaning schedule for common areas including the garage and gym"", ""Improve communication with tenants by ensuring timely responses and addressing concerns promptly"", ""Upgrade outdated appliances and ensure maintenance tasks are completed to satisfaction"", ""Address noise complaints from neighbors and improve parking situation in the garage""]"
Gardens at Cherry Creek Apartments,120_days,"Overall, residents seem to have a positive experience living at Gardens at Cherry Creek Apartments, with high praise for the maintenance team and certain staff members.","[""Issues related to cleanliness, especially in the garage and common areas"", ""Maintenance problems not fully resolved, such as old appliances and lingering maintenance issues"", ""Noise disturbances from neighbors and lack of response from management"", ""Difficulties with communication and policies regarding move-out procedures""]","{""To address cleanliness issues"": ""Management should prioritize regular cleaning of common areas, especially the garage and gym to maintain a pleasant living environment."", ""To improve maintenance services"": ""Management should conduct a thorough review of all apartments to identify and promptly address any unresolved maintenance issues, especially with appliances."", ""To address noise disturbances"": ""Management should enforce noise regulations more strictly and respond promptly to complaints from residents about noisy neighbors."", ""To enhance communication and flexibility"": ""Management should improve communication with residents by ensuring they are added to necessary email lists and should consider more flexibility with move-out policies when reasonable requests are made.""}"
Gardens at Cherry Creek Apartments,180_days,"Mixed reviews with positive feedback on maintenance and some staff members, but negative feedback on cleanliness, communication, outdated appliances, noise, parking, and management responsiveness.","[""Cleanliness issues in common areas and apartments"", ""Outdated and malfunctioning appliances"", ""Lack of communication from management"", ""Noise disturbances from neighbors"", ""Difficulties with parking and navigation in the garage"", ""Unresponsive or unhelpful management when addressing issues""]","{""Cleanliness"": ""Management should prioritize regular cleaning of common areas, including the gym and hallways, to maintain a pleasant environment for residents."", ""Appliances"": ""Consider investing in updating and replacing outdated and malfunctioning appliances to enhance the living experience for residents."", ""Communication"": ""Improve communication channels with residents by ensuring they are added to email lists promptly and responding to inquiries and concerns in a timely manner."", ""Noise Disturbances"": ""Implement stricter noise policies and take action on noise complaints promptly to ensure a peaceful living environment for all residents."", ""Parking and Garage Navigation"": ""Address the issues in the parking garage to improve navigation space, remove the dog run to eliminate odors, and reconsider reserved parking spaces to optimize parking availability for residents."", ""Management Responsiveness"": ""Ensure better communication and follow-through on maintenance requests, move-out processes, and deposit returns to foster trust and satisfaction among residents.""}"
Gardens at Cherry Creek Apartments,365_days,Mixed,"[""Maintenance issues were not fully resolved or addressed properly"", ""Lack of cleanliness in common areas and hallways"", ""Noise disturbances from neighbors"", ""Difficulties with parking and navigating the parking garage"", ""Communication issues with management regarding lease terms and move-out process"", ""High utility costs and additional fees"", ""Misleading information about amenities and services""]","[""Improvement in maintenance response and ensuring all issues are thoroughly resolved"", ""Enhanced cleaning schedule for common areas, especially the gym and hallways"", ""Address noise disturbances and implement policies for neighbor conduct"", ""Revise parking policies and improve navigation in the parking garage"", ""Enhance communication with tenants, provide clear lease terms, and improve responsiveness"", ""Review utility costs and additional fees, ensure transparency in billing"", ""Ensure accurate and honest information about amenities, set realistic expectations""]"
Grand Riviera Miramar Apartments & Townhomes,90_days,Mixed,"[""Misleading pricing and hidden fees"", ""Poor unit conditions and maintenance"", ""Unprofessional behavior from staff"", ""Issues with security deposit deductions"", ""Concerns about administration and additional charges""]","{""Misleading Pricing and Hidden Fees"": ""Be transparent with pricing and inform tenants about all fees upfront to avoid misunderstandings."", ""Poor Unit Conditions and Maintenance"": ""Invest in updating units, improving cleanliness, and addressing maintenance issues promptly."", ""Unprofessional Behavior from Staff"": ""Provide training to staff for better professionalism and handling tenant concerns respectfully."", ""Issues with Security Deposit Deductions"": ""Review security deposit deductions thoroughly and provide clear documentation to tenants for any charges."", ""Concerns about Administration and Additional Charges"": ""Ensure fair treatment of tenants, avoid hidden charges, and improve communication about any fee changes.""}"
Grand Riviera Miramar Apartments & Townhomes,120_days,Mixed reviews with an equal number of positive and negative experiences shared.,"[""Misleading information about pricing and hidden fees"", ""Poor maintenance and cleanliness of units"", ""Unprofessional behavior from some staff members"", ""Issues with security deposit and additional charges"", ""Problems with trash fees and mandatory Wi-Fi service""]","[""Provide accurate information about pricing and any additional fees upfront to avoid surprises for tenants"", ""Improve the maintenance and cleanliness standards of the units to meet tenant expectations"", ""Implement further training and standards for professionalism among staff members"", ""Review the handling of security deposits and additional charges to ensure transparency and fairness"", ""Reevaluate the necessity and pricing of trash fees and mandatory services to provide more flexible options for tenants""]"
Grand Riviera Miramar Apartments & Townhomes,180_days,Mixed reviews with a combination of positive and negative feedback.,"[""Inconsistencies between model units and actual units in terms of cleanliness and condition"", ""Hidden fees not disclosed upfront"", ""Maintenance issues upon move-in"", ""Unprofessional behavior from some staff members"", ""Trash disposal and cleanliness concerns on the property""]","[""Ensure consistency between model units and actual units by maintaining cleanliness and updating amenities"", ""Be transparent about all fees and charges upfront to avoid surprises for tenants"", ""Improve maintenance processes to address issues promptly before move-in"", ""Provide training for all staff members to ensure professionalism and respectful behavior towards tenants"", ""Implement stricter policies for trash disposal and maintenance to maintain a clean environment""]"
Grand Riviera Miramar Apartments & Townhomes,365_days,"Mixed reviews, with some residents praising the community and staff while others express dissatisfaction with management and maintenance.","[""Mismatch between advertised unit conditions and actual state upon move-in"", ""Issues with maintenance responsiveness and completion of repairs"", ""Concerns about additional monthly fees not disclosed upfront"", ""Negative experiences with specific staff members like Traci""]","[""Ensure advertised photos and unit conditions align to avoid misrepresentation"", ""Improve maintenance response times and follow-through on repairs to address resident concerns"", ""Be transparent about all potential fees and communicate them clearly to residents prior to leasing"", ""Provide customer service training to staff members like Traci to enhance professionalism and interactions with residents""]"
Greenway at Mallard Creek Charlotte Apartments,90_days,"Most residents have had a positive experience with Greenway at Mallard Creek Charlotte Apartments, praising the friendly staff, convenient location, and pleasant living environment.","[""Excessive fees and unexpected charges, particularly related to maintenance issues like replacing blinds."", ""Some residents have expressed frustration with communication regarding maintenance requests.""]","To address the issues raised by residents, management should consider improving transparency around fees and charges, ensuring consistent communication with residents regarding maintenance requests, and reviewing the maintenance policies to prevent any surprises for tenants."
Greenway at Mallard Creek Charlotte Apartments,120_days,"Most residents are very satisfied with their experience at Greenway at Mallard Creek Charlotte Apartments, praising the staff, amenities, and location.","[""Excessive fees and charges, such as being asked to pay for new blinds that had natural wear and tear"", ""Poor communication and management response to a water leak issue""]","{""Excessive fees and charges"": ""Management should reconsider charging residents for normal wear and tear items like blinds. It is recommended to have a transparent policy regarding such charges and ensure maintenance issues are addressed promptly."", ""Poor communication and management response to a water leak issue"": ""Management should improve communication during maintenance emergencies to keep residents updated on the progress. Additionally, staff should show empathy and understanding towards residents facing inconveniences, and work towards compensating them for the trouble caused.""}"
Greenway at Mallard Creek Charlotte Apartments,180_days,"Mixed reviews with positive feedback on staff, location, and amenities, but negative feedback on excessive fees and lack of communication during maintenance issues.","[""Excessive fees and charges added to the base rent"", ""Lack of communication and inconvenience during maintenance issues"", ""Unsatisfactory response from leasing agents""]","[""Reevaluate the fee structure to ensure they are fair and reasonable for residents"", ""Improve communication with residents, especially during maintenance issues, by providing timely updates"", ""Ensure leasing agents have empathy, patience, and better customer service skills when addressing resident concerns""]"
Greenway at Mallard Creek Charlotte Apartments,365_days,"Mixed reviews with positive feedback about the staff and amenities, but recurring complaints about excessive fees, lack of communication, and issues with maintenance.","[""Excessive fees added on top of rent, such as internet fee, valet trash fee, amenities fee, etc."", ""Lack of communication from management during incidents like water leaks, leading to inconvenience for residents."", ""Issues with maintenance, including delays in fixing problems, concerns about cleanliness, and pest infestations.""]","[""Review and possibly reduce the additional fees being charged to tenants, ensuring transparency about costs upfront."", ""Improve communication protocols during emergencies or maintenance issues to keep residents informed and updated."", ""Enhance maintenance services to address concerns promptly and effectively, ensuring a clean and pest-free environment for residents.""]"
Highland Station Apartments,90_days,Mixed sentiments with concerns about maintenance and management professionalism overshadowing positive experiences.,"[""Poor maintenance: leaking roof, pet stains and odors, trash not regularly taken out"", ""Overpriced complex with misleading luxury amenities"", ""Unprofessional property manager and management issues"", ""Safety concerns: break-ins in parking garage, issues with lease termination""]","[""Improve maintenance procedures to promptly address issues like leaks, pet stains and odors, and trash management"", ""Ensure transparency in pricing and provide actual luxury amenities promised"", ""Implement professionalism training for property managers and staff"", ""Enhance security measures to address safety concerns such as break-ins"", ""Review lease termination policies to offer more flexibility to tenants""]"
Highland Station Apartments,120_days,Unable to parse JSON from response.,[],[]
Highland Station Apartments,180_days,Unable to parse JSON from response.,[],[]
Highland Station Apartments,365_days,Mixed,"[""Poor maintenance (leaking roof, pet urine, unclean common areas)"", ""Unprofessional behavior of property manager John"", ""High prices compared to amenities and actual conditions"", ""Discriminatory behavior reported during tours""]","[""Improve overall maintenance and cleanliness of the property, especially common areas like the dog park, trash disposal, and hallways"", ""Address the behavior of property manager John and ensure professionalism in all interactions with potential tenants"", ""Consider pricing adjustments to better align with the actual conditions and amenities provided"", ""Conduct training on fair housing practices and ensure all staff members adhere to non-discriminatory behavior during tours""]"
Hunters Chase Apartments,90_days,Negative,"[""Poor maintenance with issues related to outlets, insulation, AC, heating, loose carpet, bugs, etc."", ""Poor customer service with unfulfilled promises, lack of transparency, blaming residents, and management's focus on money over resident satisfaction.""]","[""Improve maintenance services to address all reported issues promptly and effectively."", ""Enhance transparency in communication with residents and ensure promises made during move-in are fulfilled."", ""Train staff, including Katie and Justin, on better customer service practices including empathy, respect, and listening to residents' concerns."", ""Reevaluate pet policies and ensure consistent treatment of residents with pets."", ""Address cleanliness and pest control issues in the apartments."", ""Review billing practices to ensure transparency and fairness, avoiding unnecessary charges and resolving disputes promptly.""]"
Hunters Chase Apartments,120_days,Mixed reviews with a strong negative sentiment overall,"[""Poor maintenance and insulations issues"", ""Inconsistent information from management"", ""Unresolved maintenance issues and blaming residents"", ""Issues with cleanliness and pests"", ""Challenges with communication and management professionalism""]","[""Improve maintenance response time and address insulation issues promptly"", ""Ensure consistent and transparent communication with residents"", ""Prioritize cleanliness during move-ins and address pest control effectively"", ""Provide proper training for staff on professionalism and conflict resolution"", ""Review billing practices and ensure transparency with residents""]"
Hunters Chase Apartments,180_days,Mixed feelings with a general leaning towards negative experiences.,"[""Poor maintenance and lack of urgency in addressing issues"", ""False promises and mismanagement"", ""Unsanitary living conditions and pest infestations"", ""Overcharging residents and withholding deposits""]","Management should prioritize proper maintenance and timely repairs, be transparent with residents, improve cleanliness standards, address pest issues promptly, review billing practices, and focus on enhancing customer service to rebuild trust and improve resident satisfaction."
Hunters Chase Apartments,365_days,Mixed reviews with a majority leaning towards negative experiences.,"[""Issues with maintenance and cleanliness upon move-in (dirty apartments, non-functional heating and AC, pests)"", ""Lack of responsiveness from management (unaddressed maintenance requests, unclean apartments)"", ""Poor communication and transparency (misleading promises, pressure to sign leases, difficulties in breaking lease)"", ""Quality of amenities not meeting expectations (outdated features, cleanliness issues)""]","[""Improve quality control for move-in inspections to ensure apartments are clean and properly maintained before new residents move in."", ""Enhance communication and transparency with residents regarding lease agreements, fees, and property maintenance."", ""Prioritize maintenance requests and address them promptly to ensure residents have a comfortable living environment."", ""Update and maintain amenities to meet the standards expected in a luxury property.""]"
Lofts at Lakeview Apartments,90_days,Mixed feelings with a tilt towards negative due to management and maintenance issues.,"[""Poor management"", ""Lack of maintenance"", ""Pest infestation"", ""Lack of transparency""]","{""management"": ""Enhance professionalism, address issues promptly, and improve communication with residents."", ""maintenance"": ""Prioritize timely repairs and ensure all amenities are well-maintained."", ""pest control"": ""Implement a robust pest control program to address the infestation issues."", ""transparency"": ""Be upfront with potential tenants about any ongoing problems and how they are being handled.""}"
Lofts at Lakeview Apartments,120_days,Mixed reviews with a negative trend due to poor management and maintenance,"[""Rude management"", ""Terrible service with slow maintenance"", ""Pest infestation issue"", ""Lack of transparency from leasing team"", ""Overpricing""]","{""management"": ""Address the rude behavior of the management team and improve professionalism, responsiveness, and transparency. Implement effective pest control measures and prioritize maintenance requests to ensure timely resolutions. Consider adjusting the pricing to better align with the quality of the apartments and amenities."", ""maintenance"": ""Prioritize quick responses and alternative solutions for maintenance issues such as AC problems. Regularly inspect and treat for pests to maintain a clean and comfortable living environment for residents.""}"
Lofts at Lakeview Apartments,180_days,Mixed,"[""Poor management communication and responsiveness"", ""Pest control issues"", ""Challenges with deposit refunds""]","[""Improve communication and responsiveness of the management team to address tenant concerns promptly"", ""Implement effective pest control measures to tackle infestations"", ""Enhance the deposit refund process for a smoother and quicker experience for vacating tenants""]"
Lofts at Lakeview Apartments,365_days,"Mixed reviews with some positive feedback about amenities, location, and helpful staff, but also negative feedback regarding management, maintenance issues, pests, noise, and pricing.","[""Management issues - rude, unprofessional, lack of transparency, poor communication, mismanagement of funds"", ""Maintenance problems - slow response, old appliances, issues with utility payment, leakage, poor upkeep"", ""Pest control concerns - cockroach infestation, insects in common areas, lack of pest control"", ""Noise disturbances - thin walls, noisy neighbors, loud common areas"", ""High pricing without corresponding value - expensive rent, additional fees for services, changes in utility charges""]","[""Improve management communication and transparency with residents"", ""Enhance maintenance response time and address maintenance issues promptly"", ""Implement effective pest control measures to address infestation problems"", ""Address noise issues through better soundproofing solutions"", ""Review pricing strategy to ensure value for residents and consider reducing additional fees""]"
McCauly Crossing Apartments,90_days,Mixed,"[""Hidden fees and expensive pricing"", ""Poor maintenance and slow response"", ""Issues with apartment condition upon move-in"", ""Unresponsive management and lack of communication"", ""Shady leasing practices""]","{""Hidden fees and expensive pricing"": ""Be transparent about all fees and ensure pricing is reasonable for the condition of the apartments."", ""Poor maintenance and slow response"": ""Improve maintenance response times and ensure all issues are addressed promptly."", ""Issues with apartment condition upon move-in"": ""Ensure apartments are thoroughly inspected and any necessary repairs or updates are completed before move-in."", ""Unresponsive management and lack of communication"": ""Enhance communication with tenants, be more responsive to concerns, and address issues promptly."", ""Shady leasing practices"": ""Ensure leasing practices are transparent, fair, and ethical. Avoid pressuring or misleading potential tenants.""}"
McCauly Crossing Apartments,120_days,Mixed,"[""Maintenance issues"", ""Poor management"", ""Hidden fees""]","{""Maintenance issues"": ""Management should prioritize quicker responses to maintenance requests and ensure all units are properly maintained before move-in."", ""Poor management"": ""Improve communication between management and residents, address turnover in office management, and handle deposit returns promptly and fairly."", ""Hidden fees"": ""Be transparent about all fees associated with renting, and ensure that all fees are clearly outlined in the lease agreement.""}"
McCauly Crossing Apartments,180_days,Mixed,"[""Misleading marketing about luxury status"", ""Poor maintenance and delayed repairs"", ""Hidden fees and extra charges"", ""Difficulty in canceling lease agreements"", ""Low quality of apartments and appliances""]","[""Improve transparency in marketing to accurately reflect the condition of the apartments and amenities"", ""Prioritize maintenance requests and ensure timely repairs are completed"", ""Review and clearly communicate all fees and charges to tenants upfront"", ""Enhance flexibility in lease agreements and ensure easy cancellation processes"", ""Invest in renovating apartments and upgrading appliances to improve quality of living""]"
